eventId,numInvited,numEventOrganizers,ParticipationRate,eventOutcomeModel2
270118684,42,2,0.4286,1
270287554,42,2,0.4048,1
270875569,20,1,0.4000,0
271369706,20,1,0.3500,1
271958263,20,1,0.2000,1
272178347,20,1,0.3000,1
272563821,20,1,0.4000,1
272776302,20,1,0.3000,1
273365912,18,1,0.2778,1
273366199,18,1,0.3333,1
273920104,20,1,0.3500,1
274584630,20,1,0.3500,1
274584634,20,1,0.4000,1
278537023,600,1,0.0067,0
279082908,40,1,0.3250,1
279378289,20,1,0.5000,1
279432126,15,1,0.9333,1
279625205,30,1,0.4000,1
279822818,30,1,0.3333,1
280162655,30,1,0.4333,1
280648753,30,1,0.3000,1
280910058,30,1,0.2000,1
281036065,30,1,0.3000,1
281242200,30,1,0.3000,1
